"movie","subject"
"http://dbpedia.org/resource/Shine_a_Light_(film)","http://dbpedia.org/resource/Category:Films_directed_by_Martin_Scorsese"
"http://dbpedia.org/resource/Shine_a_Light_(film)","http://dbpedia.org/resource/Category:American_rock_music_films"
"http://dbpedia.org/resource/Shine_a_Light_(film)","http://dbpedia.org/resource/Category:Rockumentaries"
"http://dbpedia.org/resource/Shine_a_Light_(film)","http://dbpedia.org/resource/Category:Shangri-La_Entertainment_films"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:Christianity_in_Japan"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:Upcoming_films"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:Films_based_on_Japanese_novels"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:Screenplays_by_Jay_Cocks"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:2016_films"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:Films_shot_in_Taiwan"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:American_drama_films"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:American_films"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:English-language_films"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:Films_directed_by_Martin_Scorsese"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:Japanese-language_films"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:Paramount_Pictures_films"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:Films_based_on_works_by_Shūsaku_Endō"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:2010s_drama_films"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:Films_set_in_Japan"
"http://dbpedia.org/resource/Silence_(2016_film)","http://dbpedia.org/resource/Category:Films_set_in_the_1670s"
"http://dbpedia.org/resource/Street_Scenes","http://dbpedia.org/resource/Category:1970_films"
"http://dbpedia.org/resource/Street_Scenes","http://dbpedia.org/resource/Category:American_documentary_films"
